trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-145.16457814130885,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-119.74238756097739,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-105.36246954221114,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,1,-93.57285480042313,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-97.88311234875334,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,-4.63196904007523,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-97.7836323365376,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-70.18522426553308,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,8,-19.965803539944883,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-176.03291928451222,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,9,-50.52909737239895,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,8,-76.0128834050973,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-24.29105478017094,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,-36.32630879129568,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,20,-0.817443137584654,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-58.61604804320183,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,4.105986219213235,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-128.62126007690642,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,18,2.3902441200668663,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-30.851437966594062,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-61.00430174990641,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,14,-21.028580983738024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-50.77962301243104,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,18,-15.112600443923055,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,0.3643418437854038,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,13,-22.30778666966744,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-97.32800155140627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,6.2031161934752115,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,4,-58.93042726059612,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,-16.112625404438738,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
