trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0015, 'e': 1.0}",20,0,-101.54970825190101,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.0015, 'e': 0.9985011244377109}",20,0,-89.5205434569786,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.0015, 'e': 0.997004495503373}",25,0,-118.99733456194983,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.0015, 'e': 0.9955101098295706}",20,0,-94.13450252002589,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.0015, 'e': 0.9940179640539353}",30,6,-81.54819952071877,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 0}",1
6,False,"{'a': 0.0015, 'e': 0.9925280548191384}",20,0,-87.39375537706516,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.0015, 'e': 0.9910403787728836}",20,0,-100.76407406353091,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.0015, 'e': 0.9895549325678993}",25,0,-12.840368748201023,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.0015, 'e': 0.9880717128619305}",30,0,-309.9452244472838,"{0: 11, 1: 3, 2: 9, 3: 3, 4: 4}",0
10,False,"{'a': 0.0015, 'e': 0.9865907163177327}",20,0,-51.26100991411465,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.0015, 'e': 0.9851119396030626}",25,0,-171.75324034484186,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.0015, 'e': 0.9836353793906724}",20,0,-118.2518801074564,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.0015, 'e': 0.9821610323583008}",20,0,-53.44493172811455,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.0015, 'e': 0.9806888951886662}",20,0,-215.42196881500752,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.0015, 'e': 0.9792189645694596}",30,0,-143.55007231418773,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.0015, 'e': 0.9777512371933363}",20,0,-73.42586001421378,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.0015, 'e': 0.9762857097579093}",25,0,-35.143332644533125,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.0015, 'e': 0.9748223789657411}",25,3,-55.00405276692021,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.0015, 'e': 0.9733612415243368}",30,0,-108.61339821465967,"{0: 17, 1: 6, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.0015, 'e': 0.9719022941461366}",20,0,-95.69885937500189,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.0015, 'e': 0.9704455335485082}",25,0,-40.42750081354723,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.0015, 'e': 0.9689909564537397}",20,0,-184.46734268904635,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",1
23,False,"{'a': 0.0015, 'e': 0.967538559589032}",20,0,-148.18433290342915,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.0015, 'e': 0.9660883396864915}",25,0,-124.56838415877468,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
25,False,"{'a': 0.0015, 'e': 0.9646402934831231}",30,0,-116.95559217225328,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.0015, 'e': 0.9631944177208218}",20,0,-146.82518286944895,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
27,False,"{'a': 0.0015, 'e': 0.9617507091463667}",20,0,-104.89504488378128,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.0015, 'e': 0.960309164511413}",30,0,-103.24658231029434,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.0015, 'e': 0.9588697805724845}",30,2,-107.77206234974264,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 1}",1
30,False,"{'a': 0.0015, 'e': 0.957432554090967}",30,3,-98.89754128202773,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 0}",1
31,False,"{'a': 0.0015, 'e': 0.9559974818331}",30,2,-220.45606898584234,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 4}",1
32,False,"{'a': 0.0015, 'e': 0.9545645605699703}",25,0,-237.34348975668536,"{0: 10, 1: 4, 2: 5, 3: 3, 4: 3}",0
33,False,"{'a': 0.0015, 'e': 0.9531337870775047}",35,0,-117.12975811216445,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
34,False,"{'a': 0.0015, 'e': 0.9517051581364622}",20,0,-102.14765937097086,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.0015, 'e': 0.950278670532427}",30,0,-273.49945891421794,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 5}",0
36,False,"{'a': 0.0015, 'e': 0.9488543210558013}",30,0,-98.68483544918327,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.0015, 'e': 0.9474321065017983}",25,0,-84.38465328934959,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.0015, 'e': 0.9460120236704347}",20,0,-145.0026412713675,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
39,False,"{'a': 0.0015, 'e': 0.9445940693665233}",20,0,-22.668475659883423,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
40,False,"{'a': 0.0015, 'e': 0.9431782403996666}",25,0,-129.265684210397,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.0015, 'e': 0.9417645335842487}",30,4,-74.8309081805418,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 1}",1
42,False,"{'a': 0.0015, 'e': 0.9403529457394286}",30,0,-56.303993213874705,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.0015, 'e': 0.9389434736891332}",20,0,-34.91106046723927,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.0015, 'e': 0.9375361142620497}",25,0,-119.67829543637315,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
45,False,"{'a': 0.0015, 'e': 0.9361308642916188}",20,0,-165.9963645288944,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
46,False,"{'a': 0.0015, 'e': 0.9347277206160275}",20,0,-228.53335882843265,"{0: 8, 1: 3, 2: 2, 3: 4, 4: 3}",0
47,False,"{'a': 0.0015, 'e': 0.933326680078202}",20,0,-90.500811692288,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.0015, 'e': 0.9319277395258003}",20,0,-63.250593362655046,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.0015, 'e': 0.9305308958112057}",25,0,-102.22690725006413,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.0015, 'e': 0.9291361457915193}",20,0,-105.73914390539447,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.0015, 'e': 0.9277434863285529}",30,0,-180.3332809179683,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
52,False,"{'a': 0.0015, 'e': 0.9263529142888222}",20,0,-133.14641588369406,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
53,False,"{'a': 0.0015, 'e': 0.9249644265435393}",30,8,-135.0831241220096,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 3}",1
54,False,"{'a': 0.0015, 'e': 0.9235780199686064}",25,6,-81.36107537588936,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
55,False,"{'a': 0.0015, 'e': 0.922193691444608}",20,0,-24.136402525015118,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.0015, 'e': 0.9208114378568045}",20,0,-84.46343623252838,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.0015, 'e': 0.9194312560951247}",20,0,-129.0997191550054,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.0015, 'e': 0.9180531430541589}",30,0,-148.82569653979078,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
59,False,"{'a': 0.0015, 'e': 0.9166770956331523}",30,0,-143.26435833058937,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
60,False,"{'a': 0.0015, 'e': 0.9153031107359976}",30,0,-139.40999784549726,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
61,False,"{'a': 0.0015, 'e': 0.9139311852712282}",20,13,-1.9933238822285775,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.0015, 'e': 0.9125613161520112}",20,0,-150.9173959988997,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.0015, 'e': 0.9111935002961405}",20,0,-31.605967566302187,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.0015, 'e': 0.90982773462603}",30,15,-92.41876549997666,"{0: 6, 1: 4, 2: 4, 3: 0, 4: 1}",1
65,False,"{'a': 0.0015, 'e': 0.9084640160687062}",20,5,-78.44612020958446,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
66,False,"{'a': 0.0015, 'e': 0.9071023415558017}",20,0,-73.3102556417682,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.0015, 'e': 0.9057427080235485}",20,0,-74.52476305218418,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.0015, 'e': 0.9043851124127704}",25,0,-227.6417321480589,"{0: 11, 1: 4, 2: 4, 3: 3, 4: 3}",0
69,False,"{'a': 0.0015, 'e': 0.9030295516688768}",20,0,-197.34722294242962,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 0.0015, 'e': 0.9016760227418554}",20,0,-181.6538547241674,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
71,False,"{'a': 0.0015, 'e': 0.9003245225862656}",20,0,-73.17878301850399,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.0015, 'e': 0.8989750481612314}",20,0,-81.84024755723883,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.0015, 'e': 0.8976275964304349}",25,0,-70.10982627860427,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
74,False,"{'a': 0.0015, 'e': 0.896282164362109}",20,0,-85.00122700368247,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.0015, 'e': 0.894938748929031}",20,0,-109.92639075312412,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.0015, 'e': 0.8935973471085157}",30,0,-44.28498499878412,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.0015, 'e': 0.8922579558824083}",20,0,-105.00795914301695,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.0015, 'e': 0.8909205722370781}",20,0,-49.189866689463756,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.0015, 'e': 0.8895851931634113}",25,1,-71.05750294638365,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 1}",1
80,False,"{'a': 0.0015, 'e': 0.8882518156568044}",20,0,-45.29618715794293,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
81,False,"{'a': 0.0015, 'e': 0.8869204367171575}",20,0,-142.91921287681726,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.0015, 'e': 0.8855910533488673}",20,0,-126.33562938233815,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
83,False,"{'a': 0.0015, 'e': 0.8842636625608209}",20,0,-131.92319569488203,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.0015, 'e': 0.8829382613663882}",25,0,-106.92776048358805,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
85,False,"{'a': 0.0015, 'e': 0.8816148467834161}",20,0,-117.3384446614446,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
86,False,"{'a': 0.0015, 'e': 0.8802934158342212}",30,0,-71.09108264864912,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.0015, 'e': 0.8789739655455832}",35,18,-25.080990310077375,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.0015, 'e': 0.8776564929487385}",20,0,-46.4083247412494,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.0015, 'e': 0.8763409950793732}",20,0,-86.92780478012764,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
90,False,"{'a': 0.0015, 'e': 0.8750274689776166}",20,0,-84.62750870137371,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.0015, 'e': 0.8737159116880344}",30,0,-169.48737083392794,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
92,False,"{'a': 0.0015, 'e': 0.8724063202596221}",20,0,-56.32091889058824,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.0015, 'e': 0.8710986917457983}",30,0,-142.49028488227313,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
94,False,"{'a': 0.0015, 'e': 0.8697930232043986}",20,0,-34.51965066482159,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
95,False,"{'a': 0.0015, 'e': 0.8684893116976679}",25,0,-56.172231858944976,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.0015, 'e': 0.8671875542922549}",20,0,-102.22048310502623,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.0015, 'e': 0.865887748059205}",25,0,-91.87343023491172,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
98,False,"{'a': 0.0015, 'e': 0.8645898900739535}",20,0,-75.56033947782917,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.0015, 'e': 0.8632939774163194}",35,0,-86.67754602524944,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
100,False,"{'a': 0.0015, 'e': 0.8620000071704987}",25,0,-51.74345748264892,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
101,False,"{'a': 0.0015, 'e': 0.8607079764250578}",30,0,-139.07688835212358,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
102,False,"{'a': 0.0015, 'e': 0.8594178822729269}",25,1,-269.1408362892096,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 5}",1
103,False,"{'a': 0.0015, 'e': 0.8581297218113938}",25,0,-35.60505447999476,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.0015, 'e': 0.8568434921420968}",20,0,-36.04195470100957,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.0015, 'e': 0.8555591903710185}",20,0,-80.92331176409914,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.0015, 'e': 0.8542768136084795}",30,0,-80.38548439488741,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
107,False,"{'a': 0.0015, 'e': 0.8529963589691315}",20,11,-91.0051831604494,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 2}",1
108,False,"{'a': 0.0015, 'e': 0.851717823571951}",20,0,-83.62626048573104,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.0015, 'e': 0.850441204540233}",25,11,-11.99555588484375,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.0015, 'e': 0.8491664990015839}",20,0,-12.624769419122696,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.0015, 'e': 0.8478937040879159}",25,14,-34.197734461446075,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.0015, 'e': 0.8466228169354396}",25,20,8.39638377366855,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.0015, 'e': 0.8453538346846587}",25,0,-157.27732854374665,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
114,False,"{'a': 0.0015, 'e': 0.8440867544803625}",35,0,-115.43469330245625,"{0: 21, 1: 5, 2: 6, 3: 3, 4: 0}",0
115,False,"{'a': 0.0015, 'e': 0.8428215734716199}",35,0,-236.03586529028152,"{0: 21, 1: 2, 2: 7, 3: 1, 4: 4}",0
116,False,"{'a': 0.0015, 'e': 0.8415582888117732}",20,0,-113.78852307844784,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
117,False,"{'a': 0.0015, 'e': 0.8402968976584314}",30,0,-72.56685345916407,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.0015, 'e': 0.8390373971734638}",30,18,-67.48333323127913,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
119,False,"{'a': 0.0015, 'e': 0.8377797845229938}",20,0,-108.0068492405287,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
120,False,"{'a': 0.0015, 'e': 0.8365240568773925}",20,0,-55.02462104331201,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
121,False,"{'a': 0.0015, 'e': 0.835270211411272}",30,0,-102.2604254009074,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.0015, 'e': 0.8340182453034796}",20,0,-48.50439527327315,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.0015, 'e': 0.832768155737091}",30,0,-106.04314736892636,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
124,False,"{'a': 0.0015, 'e': 0.8315199398994041}",20,0,-83.84388086055071,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.0015, 'e': 0.8302735949819326}",20,0,-83.515748143357,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
126,False,"{'a': 0.0015, 'e': 0.8290291181804004}",20,0,-64.6339676324215,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
127,False,"{'a': 0.0015, 'e': 0.8277865066947336}",20,0,-88.92283211679732,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
128,False,"{'a': 0.0015, 'e': 0.8265457577290563}",30,0,-98.81865383351787,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
129,False,"{'a': 0.0015, 'e': 0.8253068684916823}",25,0,-219.2382559620437,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
130,False,"{'a': 0.0015, 'e': 0.8240698361951109}",20,4,-57.700197749862454,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 0}",1
