trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.1591362204122,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.92078851912657,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.1348098938954,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,3,-94.09276644225152,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.0209469216664,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.81886818877142,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.6543023937068,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.35403973234656,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.24094719273984,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.31380124163658,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.9110280573011,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.5294473368183,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,1,-67.62999305936613,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.4031468507011,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.8742143821751,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.21343479555313,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.97275691724117,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.81033124320233,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.38152281202137,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.04551235954035,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.08578115343064,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-142.40457792058086,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-20.8646427743793,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.39691722177233,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.17912687205566,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.84647056905374,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,10,-61.590195711765446,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.9867189946694,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.408022182991,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.12726566060584,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
